display,position,proj,slot
New York Jets,DEF,134.441274708,DEF
Dallas Cowboys,DEF,134.439805656,SUB
Cleveland Browns,DEF,133.46393255299998,SUB
San Francisco 49ers,DEF,131.06507487899998,SUB
Pittsburgh Steelers,DEF,128.1968605295,SUB
Kansas City Chiefs,DEF,119.3054753385,SUB
Miami Dolphins,DEF,117.037805143,SUB
Justin Herbert,QB,263.02555431400003,QB
Matthew Stafford,QB,249.2934740665,SUB
New Orleans Saints,DEF,114.19132424650002,SUB
Baker Mayfield,QB,248.242716043,SUB
Geno Smith,QB,233.643678872,SUB
Daniel Jones,QB,220.374631547,SUB
Cincinnati Bengals,DEF,114.076887169,SUB
Detroit Lions,DEF,113.82126546150002,SUB
Chicago Bears,DEF,113.46851994699998,SUB
Jacksonville Jaguars,DEF,110.6571111495,SUB
Buffalo Bills,DEF,106.23291891449998,SUB
Houston Texans,DEF,106.008345739,SUB
